discipline,rank,school_name,school_url,student_faculty_ratio,grad_rate,retention_rate,accept_rate,enroll_rate,aid_rate,default_rate,description,street_address,city,state,zip,website,program_page,logo_url
Accounting,1,Misericordia University,http://www.misericordia.edu,13 to 1,54%,80%,71%,30%,72%,5.9%,"Misericordia University in Dallas, Pa., offers an online accounting degree . Distance learners can earn Misericordia’s bachelor’s of science in accounting in just two-and-a-half years of part-time study through the school’s accelerated degree program. The accelerated program is designed for working adults with prior college credits or relevant work experience. The program is structured into into seven-and-a-half-week terms offered eight times per year, and students with previous accounting experience are eligible to apply for prior learning credit. Distance learners take courses, including principles of marketing, macroeconomics, and a seminar in business policies. Students gain real-world experience by completing a mandatory six-credit internship at an accounting firm or company near home. Incoming freshmen need a minimum 2.5 GPA and a minimum 850 SAT score (combined math and critical reading). Transfer students must hold at least 15 college credits with a minimum 2.0 GPA.",301 Lake St,Dallas,PA,18612-1098,http://www.misericordia.edu,http://www.misericordia.edu/page.cfm?p=1849,
Accounting,2,Keiser University-Ft Lauderdale,http://www.keiseruniversity.edu,12 to 1,44%,75%,48%,68%,69%,17.8%,"Distance learners can earn an online accounting degree at Keiser University-Fort Lauderdale in Florida. Keiser offers more than 100 career and academic degrees from the associate through the doctoral level and serves more than 16,000 students annually. Graduates of Keiser's BA in accounting program are prepared to work as entry-level accountants in business, government, and the nonprofit sector. Keiser not only provides students with a broad overview of the field, it also instills an advanced understanding of specialties within accounting. Topics covered include ethics, communication skills, taxation, and auditing. Students must complete the following three-credit prerequisites before enrolling in any accounting courses: microeconomics, macroeconomics, and statistics. To graduate with the 120-credit bachelor’s degree, students must complete 45 general education credits and 75 major credits. Auditing courses available to online accounting students include income tax accounting, advanced managerial accounting, and project management.",1500 NW 49th St.,Fort Lauderdale,FL,33309,http://www.keiseruniversity.edu,http://www.keiseruniversity.edu/accounting-ba/,
Accounting,3,Touro University Worldwide,http://www.tuw.edu,8 to 1,20%,67%,33%,72%,13%,4%,"Students interested in getting their accounting degree online find an excellent option at Touro University Worldwide, based in Los Alamitos, CA. The self-paced program is fully online, with no in-person requirements. Each course lasts eight weeks and each tuition credit costs a flat rate, regardless of where you live. The bachelor’s of science in business administration (BSBA) with an accounting concentration at Touro requires 120 credits for completion. This includes 45 general education credits, 39 core credit requirements, 24 elective credits, and 12 credits in a concentration. Accounting is one of the seven available concentrations for BSBA students. Individuals who select the accounting concentration can work in financial accounting, financial reporting analysis, and cash management. Students enrolled in the BSBA with an accounting concentration program can graduate after three-and-a-half years of full-time study. Transfer students who bring in credits from previous study complete the program more quickly.",10601 Calle Lee #179,Los Alamitos,CA,90720,http://www.tuw.edu,http://www.tuw.edu/academics/business/business-administration-and-management/,
Accounting,4,Indiana Wesleyan University-Marion,http://www.indwes.edu,16 to 1,69%,84%,95%,45%,70%,6.5%,"Indiana Wesleyan University-Marion offers an accounting degree online through its BS in accounting program. Distance learners can complete the entire program online, with no required campus visits. The degree is designed for adults already working in the accounting field and focuses on the core issues of accounting theory, auditing, and taxation. Graduates have the skills needed to enter into or advance in accounting. The degree also provides a solid foundation for individuals interested in taking the CPA exam to be become certified. The degree can be completed in just 18 to 20 months if previous college credits transfer. Elearners benefit from a supportive cohort structure, in which they go through the program and take classes with the same group of students. Tuition is the same cost regardless of where individuals live.",4201 South Washington Street,Marion,IN,46953-4974,http://www.indwes.edu,https://www.indwes.edu/adult-graduate/programs/bs-accounting/,
Accounting,5,Temple University,http://www.temple.edu,14 to 1,36%,89%,61%,27%,66%,5.8%,"Students searching for online accounting programs will be interested in the bachelor’s in business administration (BBA) with a concentration in accounting from the Fox School of Business at Temple University in Philadelphia. The accelerated bachelor’s program takes just three years to complete, and students can earn their master’s of accountancy (MAcc) with one more additional year of study. The program covers accounting fundamentals necessary to succeed in entry-level positions, including taxation, ethics, and International Financial Reporting Standards (IFRS). The BBA is a good starting point for individuals interested in becoming CPAs. Faculty advisors help students figure out how the program can help them complete the requirements and prepare for taking the CPA exam. The same faculty members who teach on the physical Temple campus also teach the online courses, ensuring students get the same high-quality instruction. Numerous local and regional accounting firms recruit accounting students from Temple’s BBA program.",1801 North Broad Street,Philadelphia,PA,19122-6096,http://www.temple.edu,http://www.fox.temple.edu/cms_academics/dept/accounting/undergraduate/,
Accounting,6,Champlain College,http://www.champlain.edu,14 to 1,56%,80%,64%,17%,63%,4.6%,"Champlain College in Burlington, Vt., offers distance learners the opportunity to earn an accredited online accounting degree . Students must complete 120 credits in order to graduate from the program -- 57 in general education and 63 in accounting. The bachelor’s of science in accounting degree is designed for busy working adults, with most courses presented in accelerated seven-week sessions. Classes offered include managing behavior in organizations, cost accounting, and decision making through critical thinking. The program strives to provide students with a solid understanding of the broad theories of accounting, as well as practical skills needed to succeed in the field today. Online learners may also earn certificates in accounting, advanced accounting, or cost accounting as they progress through the curriculum. As students approach graduation, they take an accounting capstone course, in which they reflect on their time in the program, identify current problems or questions in the field of accounting, and research solutions.",163 S Willard St,Burlington,VT,05401,http://www.champlain.edu,http://www.champlain.edu/accounting/online-accounting-degrees,
Accounting,7,Bay Path University,http://www.baypath.edu,12 to 1,45%,77%,63%,22%,91%,9.4%,"Students who want to earn a degree at one of the accounting programs online will be interested to learn the details of the bachelor’s of science in business-accounting online program at the American Women’s College at Bay Path University in Longmeadow, Mass. Bay Path is a private university with a history of supporting female students. The accounting program provides instruction in the fundamentals of accounting theory, like auditing, business ethics/laws, and financial accounting. Available courses include federal income tax concepts, financial reporting, and contemporary issues in accounting. Bay Path also requires students to take courses related to career development, like strategies for career growth and leadership in practice. Courses last six weeks, and there are six sessions each year. The accelerated format makes it possible to earn the BS in one to three-and-a-half years. Up to 90 credits can be transferred into the program.",588 Longmeadow Street,Longmeadow,MA,01106,http://www.baypath.edu,http://www.baypath.edu/academics/undergraduate-programs/accounting/availability/online/,
Accounting,8,Saint Joseph's College of Maine,http://www.sjcme.edu,11 to 1,45%,77%,78%,22%,65%,5%,"An accredited online accounting degree is available for distance learners at Saint Joseph’s College of Maine in the town of Standish. The BS in interdisciplinary science with an accounting minor consists of 128 credits. Transfer students appreciate that only 25% of the required credits must be completed at Saint Joseph’s, allowing them to transfer up to 75% of the credits needed to graduate. The degree is available entirely online, with no on-campus requirements. Additionally, students interested in the master’s of accountancy degree at Saint Joseph’s have the option to fast-track the application process, as coursework for the bachelor’s includes most prerequisites needed for the master’s program. Program faculty have real-world, practical experience, and the curriculum helps prepare students to sit for the CPA exam. Students take six accounting courses (18 credits), choosing from classes like business finance, federal income taxes, and managerial accounting.",278 Whites Bridge Rd,Standish,ME,04084-5236,http://www.sjcme.edu,https://www.sjcme.edu/academics/programs/bs-interdisciplinary-studies-accounting-minor/online/,
Accounting,9,Viterbo University,http://www.viterbo.edu,11 to 1,33%,71%,69%,28%,74%,5.8%,"Viterbo University in La Crosse, Wis., offers an online accounting degree designed for individuals who already hold an accounting associate degree or have completed certain prerequisite accounting courses. Viterbo is a private Roman Catholic and Franciscan institution, and all students must take two religious courses. The bachelor’s of business administration in accounting program at Viterbo can be earned 100% online, with no on-campus requirements. The program has a generous transfer credit policy, allowing transfer students to earn their bachelor’s more quickly. Students can also apply to get academic credit for prior learning received through on-the-job training and experience. Graduates of the program are prepared to take the CPA exam upon completing 150 credit hours. Online students benefit from special online tutoring, eight-week terms, and personal advising services. Courses offered include external reporting to strategic management, applied business statistics to legal aspects of financial and commercial transactions.",900 Viterbo Drive,La Crosse,WI,54601-8804,http://www.viterbo.edu,http://www.viterbo.edu/adult-learning/online-accounting-degree,
Accounting,10,Hiram College,http://WWW.HIRAM.EDU,11 to 1,58%,69%,62%,20%,77%,8.6%,"An accredited online accounting degree is available at Hiram College in Hiram, Ohio. Distance learners can earn a bachelor’s of accounting and financial management 100% online, or they can choose to enroll in a blended program that combines on-campus and elearning. The program prepares graduates to work in entry-level positions in accounting and finance. Some of the available courses include accounting information systems, organizational behavior, and professional responsibilities. To receive the bachelor’s, students must earn 120 credits. By completing additional coursework (30 extra credits, totaling 150), students are eligible to sit for the CPA exam. Another option is to take advantage of one of Hiram’s articulation agreements with Ohio Northern University of Case Western Reserve University and pursue a master’s of accountancy at one of those two institutions. Students finish with a required senior seminar/capstone experience to reflect on key things learned while studying for their degrees.",11715 Garfield Rd,Hiram,OH,44234-0067,http://WWW.HIRAM.EDU,http://www.hiram.edu/admission/online/bachelors-degrees/accounting-and-financial-management,
