name,url,city,state,degree_levels,tuition,school_type
A T Still University of Health Sciences,http://WWW.ATSU.EDU,Kirksville,MO,"Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
AI Miami International University of Art and Design,http://www.artinstitutes.edu/miami/,Miami,FL,"Associates Degree, Bachelors Degree, Certificate, Masters Degree","$17,704","Private for-profit, 4-year or above"
ASA College,http://www.asa.edu,Brooklyn,NY,"Associates Degree, Certificate","$12,298","Private for-profit, 2-year"
Abilene Christian University,http://www.acu.edu,Abilene,TX,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$29,450","Private not-for-profit, 4-year or above"
Abraham Baldwin Agricultural College,http://www.abac.edu,Tifton,GA,"Associates Degree, Bachelors Degree","$3,394","Public, 4-year or above"
Academy College,http://www.academycollege.edu,Minneapolis,MN,"Associates Degree, Bachelors Degree, Certificate","$18,095","Private for-profit, 4-year or above"
Academy for Nursing and Health Occupations,http://www.ANHO.edu,West Palm Beach,FL,"Associates Degree, Certificate",N/A,"Private not-for-profit, 2-year"
Academy of Art University,http://www.academyart.edu,San Francisco,CA,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$22,608","Private for-profit, 4-year or above"
Adams State University,http://www.adams.edu,Alamosa,CO,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$8,014","Public, 4-year or above"
Adelphi University,http://www.adelphi.edu/,Garden City,NY,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$32,340","Private not-for-profit, 4-year or above"
Adirondack Community College,http://WWW.SUNYACC.EDU,Queensbury,NY,"Associates Degree, Certificate","$4,302","Public, 2-year"
Adler Graduate School,http://www.alfredadler.edu,Richfield,MN,"Masters Degree, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
Adler University,http://www.adler.edu,Chicago,IL,"Doctoral Degree, Masters Degree, Post-Masters Certificate",N/A,"Private not-for-profit, 4-year or above"
Adult and Community Education-Hudson,http://www.ccsoh.us/ACE.aspx,Columbus,OH,Certificate,N/A,"Public, less-than 2-year"
Advanced College,http://www.advancedcollege.edu,South Gate,CA,"Associates Degree, Certificate",N/A,"Private for-profit, 2-year"
Adventist University of Health Sciences,http://www.adu.edu,Orlando,FL,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$12,430","Private not-for-profit, 4-year or above"
Agnes Scott College,http://www.agnesscott.edu,Decatur,GA,Bachelors Degree,"$35,982","Private not-for-profit, 4-year or above"
Aiken Technical College,http://www.atc.edu,Graniteville,SC,"Associates Degree, Certificate","$4,132","Public, 2-year"
Aims Community College,http://www.aims.edu,Greeley,CO,"Associates Degree, Certificate","$2,756","Public, 2-year"
Air Force Institute of Technology-Graduate School of Engineering & Management,http://www.afit.edu,Wright-Patterson AFB,OH,"Doctoral Degree, Masters Degree",N/A,"Public, 4-year or above"
Alabama A & M University,http://www.aamu.edu/,Normal,AL,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$9,096","Public, 4-year or above"
Alabama Southern Community College,http://www.ascc.edu,Monroeville,AL,"Associates Degree, Certificate","$4,260","Public, 2-year"
Alabama State University,http://www.alasu.edu,Montgomery,AL,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Masters Certificate","$8,720","Public, 4-year or above"
Alamance Community College,http://www.alamancecc.edu,Graham,NC,"Associates Degree, Certificate","$2,175","Public, 2-year"
Alaska Bible College,http://www.akbible.edu/,Palmer,AK,"Associates Degree, Bachelors Degree, Certificate","$9,300","Private not-for-profit, 4-year or above"
Alaska Pacific University,http://www.alaskapacific.edu,Anchorage,AK,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$19,610","Private not-for-profit, 4-year or above"
Albany College of Pharmacy and Health Sciences,http://www.acphs.edu,Albany,NY,"Bachelors Degree, Doctoral Degree, Masters Degree","$30,131","Private not-for-profit, 4-year or above"
Albany Medical College,http://www.amc.edu,Albany,NY,"Doctoral Degree, Masters Degree",N/A,"Private not-for-profit, 4-year or above"
Albany State University,http://www.asurams.edu/,Albany,GA,"Bachelors Degree, Masters Degree, Post-Masters Certificate","$5,192","Public, 4-year or above"
Albany Technical College,http://www.albanytech.edu,Albany,GA,"Associates Degree, Certificate","$4,746","Public, 2-year"
Albertus Magnus College,http://www.albertus.edu,New Haven,CT,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$28,930","Private not-for-profit, 4-year or above"
Albion College,http://www.albion.edu,Albion,MI,Bachelors Degree,"$37,485","Private not-for-profit, 4-year or above"
Alcorn State University,http://www.alcorn.edu,Alcorn State,MS,"Associates Degree, Bachelors Degree, Masters Degree, Post-Masters Certificate","$6,200","Public, 4-year or above"
Alderson Broaddus University,http://www.ab.edu/,Philippi,WV,"Associates Degree, Bachelors Degree, Masters Degree","$22,740","Private not-for-profit, 4-year or above"
Alexandria Technical & Community College,http://www.alextech.edu,Alexandria,MN,"Associates Degree, Certificate","$5,397","Public, 2-year"
