id,prog_agriculture,prog_resources,prog_architecture,prog_ethnic_cultural_gender,prog_communication,prog_communications_technology,prog_computer,prog_personal_culinary,prog_education,prog_engineering,prog_engineering_technology,prog_language,prog_family_consumer_science,prog_legal,prog_english,prog_humanities,prog_library,prog_biological,prog_mathematics,prog_military,prog_multidiscipline,prog_parks_recreation_fitness,prog_philosophy_religious,prog_theology_religious_vocation,prog_physical_science,prog_science_technology,prog_psychology,prog_security_law_enforcement,prog_public_administration_social_service,prog_social_science,prog_construction,prog_mechanic_repair_technology,prog_precision_production,prog_transportation,prog_visual_performing,prog_health,prog_business_marketing,prog_history,programs_offered,top_programs
100654,0.0548,0.0078,0.002,0.0,0.0,0.047,0.0509,0.0,0.0411,0.1115,0.0372,0.0,0.0196,0.0,0.0137,0.0489,0.0,0.1487,0.0098,0.0,0.0,0.047,0.0,0.0,0.0137,0.0,0.0665,0.0626,0.045,0.0196,0.0,0.0,0.0,0.0,0.0078,0.0,0.1448,0.0,"Agriculture, Architecture, Biological Sciences, Business & Marketing, Communications Technology, Computer Science, Education, Engineering, Engineering Technology, English, Family & Consumer Science, Liberal Arts/Humanities, Mathematics & Statistics, Natural Resources, Parks, Recreation & Fitness, Physical Sciences, Psychology, Public Administration, Security & Law Enforcement, Social Sciences, Visual & Performing Arts","Biological Sciences (15%), Business & Marketing (14%), Engineering (11%)"
100663,0.0,0.0,0.0,0.0007,0.0261,0.0,0.0284,0.0,0.0614,0.0581,0.0,0.005,0.0,0.0,0.0139,0.032,0.0,0.1334,0.0046,0.0,0.0,0.0,0.004,0.0,0.0231,0.0,0.0822,0.0343,0.0129,0.0291,0.0,0.0,0.0,0.0,0.032,0.2015,0.2048,0.0125,"Biological Sciences, Business & Marketing, Communication, Computer Science, Education, Engineering, English, Ethnic/Cultural/Gender Studies, Foreign Languages, Health Professions, History, Liberal Arts/Humanities, Mathematics & Statistics, Philosophy & Religious Studies, Physical Sciences, Psychology, Public Administration, Security & Law Enforcement, Social Sciences, Visual & Performing Arts","Business & Marketing (20%), Health Professions (20%), Biological Sciences (13%)"
100690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2836,0.0,0.0,0.0,0.1194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4627,0.0,"Business & Marketing, Family & Consumer Science, Security & Law Enforcement, Theology","Business & Marketing (46%), Theology (28%), Family & Consumer Science (13%)"
100706,0.0,0.0,0.0,0.0,0.0129,0.0,0.101,0.0,0.019,0.3086,0.0037,0.0098,0.0,0.0,0.019,0.0,0.0,0.0484,0.0147,0.0,0.0184,0.0288,0.0018,0.0,0.0514,0.0,0.0288,0.0,0.0,0.0184,0.0,0.0,0.0,0.0,0.0343,0.1078,0.1653,0.008,"Biological Sciences, Business & Marketing, Communication, Computer Science, Education, Engineering, Engineering Technology, English, Foreign Languages, Health Professions, History, Mathematics & Statistics, Multidisciplinary Studies, Parks, Recreation & Fitness, Philosophy & Religious Studies, Physical Sciences, Psychology, Social Sciences, Visual & Performing Arts","Engineering (31%), Business & Marketing (17%), Health Professions (11%)"
100724,0.0,0.0,0.0,0.0,0.0547,0.0,0.0568,0.0,0.0737,0.0168,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.1221,0.0084,0.0,0.0863,0.0084,0.0,0.0,0.0126,0.0,0.0442,0.0905,0.0589,0.0168,0.0,0.0,0.0,0.0,0.0947,0.08,0.1663,0.0042,"Biological Sciences, Business & Marketing, Communication, Computer Science, Education, Engineering, English, Health Professions, History, Mathematics & Statistics, Multidisciplinary Studies, Parks, Recreation & Fitness, Physical Sciences, Psychology, Public Administration, Security & Law Enforcement, Social Sciences, Visual & Performing Arts","Business & Marketing (17%), Biological Sciences (12%), Visual & Performing Arts (9%)"
100751,0.0,0.0038,0.0,0.0009,0.0942,0.0,0.0144,0.0,0.0272,0.0966,0.0,0.0045,0.0696,0.0,0.0097,0.0,0.0,0.0389,0.0089,0.0,0.0172,0.0286,0.0018,0.0,0.0106,0.0,0.0513,0.0,0.0109,0.0799,0.0,0.0,0.0,0.0,0.0217,0.0966,0.3011,0.0117,"Biological Sciences, Business & Marketing, Communication, Computer Science, Education, Engineering, English, Ethnic/Cultural/Gender Studies, Family & Consumer Science, Foreign Languages, Health Professions, History, Mathematics & Statistics, Multidisciplinary Studies, Natural Resources, Parks, Recreation & Fitness, Philosophy & Religious Studies, Physical Sciences, Psychology, Public Administration, Social Sciences, Visual & Performing Arts","Business & Marketing (30%), Engineering (10%), Health Professions (10%)"
100760,0.0,0.0,0.0,0.0,0.0,0.0,0.0306,0.0474,0.0,0.0,0.0279,0.0,0.0139,0.0,0.0,0.2813,0.0,0.0,0.0,0.0,0.0418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474,0.1476,0.0,0.0,0.2953,0.0669,0.0,"Business & Marketing, Computer Science, Culinary/Personal Services, Engineering Technology, Family & Consumer Science, Health Professions, Liberal Arts/Humanities, Mechanic & Repair, Multidisciplinary Studies, Precision Production","Health Professions (30%), Liberal Arts/Humanities (28%), Precision Production (15%)"
100812,0.0,0.0,0.0,0.0,0.0,0.0,0.0275,0.0,0.3251,0.0,0.0,0.0,0.0,0.0,0.0317,0.0937,0.0,0.0165,0.0234,0.0,0.0083,0.011,0.0055,0.0,0.0028,0.0,0.0207,0.022,0.0,0.022,0.0,0.0,0.0,0.0,0.0152,0.0179,0.3416,0.0152,"Biological Sciences, Business & Marketing, Computer Science, Education, English, Health Professions, History, Liberal Arts/Humanities, Mathematics & Statistics, Multidisciplinary Studies, Parks, Recreation & Fitness, Philosophy & Religious Studies, Physical Sciences, Psychology, Security & Law Enforcement, Social Sciences, Visual & Performing Arts","Business & Marketing (34%), Education (33%), Liberal Arts/Humanities (9%)"
100830,0.0,0.0099,0.0,0.0,0.0155,0.0,0.0918,0.0,0.065,0.0,0.0,0.0014,0.0,0.0,0.0141,0.0,0.0,0.0819,0.0042,0.0,0.1172,0.0523,0.0,0.0,0.0099,0.0,0.0565,0.0297,0.0212,0.024,0.0,0.0,0.0,0.0,0.0339,0.1723,0.1935,0.0056,"Biological Sciences, Business & Marketing, Communication, Computer Science, Education, English, Foreign Languages, Health Professions, History, Mathematics & Statistics, Multidisciplinary Studies, Natural Resources, Parks, Recreation & Fitness, Physical Sciences, Psychology, Public Administration, Security & Law Enforcement, Social Sciences, Visual & Performing Arts","Business & Marketing (19%), Health Professions (17%), Multidisciplinary Studies (12%)"
100858,0.0407,0.0241,0.0209,0.0,0.0402,0.0,0.0396,0.0,0.0418,0.1714,0.0,0.0041,0.0326,0.0088,0.0058,0.0007,0.0,0.1058,0.005,0.0,0.0111,0.0,0.0009,0.0,0.0083,0.0,0.035,0.0,0.0046,0.0253,0.0,0.0,0.0,0.0234,0.0281,0.064,0.2523,0.0055,"Agriculture, Architecture, Biological Sciences, Business & Marketing, Communication, Computer Science, Education, Engineering, English, Family & Consumer Science, Foreign Languages, Health Professions, History, Legal Studies, Liberal Arts/Humanities, Mathematics & Statistics, Multidisciplinary Studies, Natural Resources, Philosophy & Religious Studies, Physical Sciences, Psychology, Public Administration, Social Sciences, Transportation, Visual & Performing Arts","Business & Marketing (25%), Engineering (17%), Biological Sciences (11%)"
