school_name,wm_source,wm_category,wm_rank,wm_social_mobility_rank,wm_research_rank,wm_service_rank,wm_grad_rate_8yr,wm_pell_graduates,wm_net_price
MA Institute of Technology,main,National Universities,1,2.0,975.4033,0.0409434,0.9645512,-0.0340021,-1896.012
SUNY Geneseo (NY)*,main,Master's Universities,1,64.0,1.934333,0.0333546,0.761828,-0.0532476,14621.21
Berea College,main,Liberal Arts Colleges,1,2.0,0.0,0.036933,0.671227,-0.1887044,3647.08
CA State U.–Maritime Academy (CA)*,main,Bachelor's Colleges,1,3.0,2.175667,0.0290252,0.6893213,0.0039641,14211.77
Stanford University,main,National Universities,2,1.0,1287.663,0.2131527,0.9677544,-0.0358356,130.8067
Univ. of TX–Rio Grande Valley (TX)*,bang4buck,South,2,,,,,,
CA State University–Los Angeles (CA)*,bang4buck,West,2,,,,,,
Harvey Mudd College,main,Liberal Arts Colleges,2,6.0,2.875,0.0975626,0.9297523,-0.0394218,19250.0
Florida International University (FL)*,bang4buck,Southeast,2,,,,,,
Cooper U. Adv. of Science & Art,main,Bachelor's Colleges,2,7.0,0.5156667,0.1902695,0.8719544,0.0180084,4291.474
Trine–Regional/Non-Traditional,bang4buck,Midwest,2,,,,,,
Charter Oak State College (CT)*,bang4buck,Northeast,2,,,,,,
Evergreen State College (WA)*,main,Master's Universities,2,29.0,0.5863333,0.0375839,0.6268348,-0.0275064,17131.75
CA State University–Los Angeles (CA)*,main,Master's Universities,3,1.0,9.937,0.0573503,0.6842237,-0.0163513,2895.668
Washington and Lee University,bang4buck,Southeast,3,,,,,,
CA State Univ.–Dominguez Hills (CA)*,bang4buck,West,3,,,,,,
Wesleyan College,main,Bachelor's Colleges,3,44.0,0.0,0.1753247,0.5970007,-0.1196752,10790.43
College of the Ozarks,bang4buck,Midwest,3,,,,,,
University of Pennsylvania,main,National Universities,3,7.0,1667.542,0.137695,0.9662973,-0.029131,3393.105
Amherst College,main,Liberal Arts Colleges,3,5.0,5.573,0.0174053,0.9479476,-0.0205922,7155.851
University of North TX–Dallas (TX)*,bang4buck,South,3,,,,,,
Boricua College,bang4buck,Northeast,3,,,,,,
Columbia Univ. in the City of NY,bang4buck,Northeast,4,,,,,,
University of Notre Dame,bang4buck,Midwest,4,,,,,,
Georgetown University,bang4buck,Southeast,4,,,,,,
Mississippi Univ. for Women (MS)*,bang4buck,South,4,,,,,,
Harvard University,main,National Universities,4,18.0,1267.483,0.2132739,0.9822023,-0.0167094,2293.186
Elizabeth City State University (NC)*,main,Bachelor's Colleges,4,11.0,1.708,0.1302752,0.4449312,-0.0334883,2854.163
CA State University–Stanislaus (CA)*,bang4buck,West,4,,,,,,
Williams College,main,Liberal Arts Colleges,4,10.0,5.161,0.0087124,0.9625855,-0.0292304,2814.855
CA State University–Northridge (CA)*,main,Master's Universities,4,4.0,19.14633,0.0575908,0.6969799,-0.0667298,6998.183
University of Central Florida (FL)*,bang4buck,Southeast,5,,,,,,
CA State U.–Maritime Academy (CA)*,bang4buck,West,5,,,,,,
Princeton University,main,National Universities,5,6.0,420.7117,0.0793884,0.9811403,-0.0067733,4696.916
Univ. of Florida–Online (FL)*,main,Bachelor's Colleges,5,1.0,0.0,0.0299824,0.6090909,0.3509259,3012.071
MA Maritime Academy (MA)*,bang4buck,Northeast,5,,,,,,
Univ. of IL–Urbana-Champaign (IL)*,bang4buck,Midwest,5,,,,,,
Wesleyan University,main,Liberal Arts Colleges,5,14.0,8.803333,0.0911249,0.911799,0.0101591,6731.237
CA State University–Sacramento (CA)*,main,Master's Universities,5,6.0,24.14433,0.114665,0.6916133,-0.0569144,7957.272
Texas A&M International Univ. (TX)*,bang4buck,South,5,,,,,,
Goshen College,main,Bachelor's Colleges,6,54.0,0.0,0.055953,0.6943458,-0.1594661,14933.92
Northwestern University,bang4buck,Midwest,6,,,,,,
Florida Atlantic University (FL)*,bang4buck,Southeast,6,,,,,,
Haverford College,main,Liberal Arts Colleges,6,22.0,4.265,0.2510476,0.916346,0.0163599,9098.133
Univ. of Houston–Downtown (TX)*,bang4buck,South,6,,,,,,
CA State University–Chico (CA)*,main,Master's Universities,6,16.0,4.230333,0.2704321,0.7394714,-0.1200594,12094.56
Princeton University,bang4buck,Northeast,6,,,,,,
Columbia Univ. in the City of NY,main,National Universities,6,4.0,1120.801,0.0952126,0.9260494,-0.0222824,3060.935
CA State University–Northridge (CA)*,bang4buck,West,6,,,,,,
Oakland City University,bang4buck,Midwest,7,,,,,,
CA State University–Stanislaus (CA)*,main,Master's Universities,7,3.0,1.964667,0.1152552,0.709803,-0.0328833,4998.692
Farmingdale State College (NY)*,main,Bachelor's Colleges,7,6.0,0.602,0.0243668,0.5867125,-0.028967,5276.157
Brigham Young University–ID,bang4buck,West,7,,,,,,
University of the Cumberlands,bang4buck,South,7,,,,,,
CUNY John Jay Col. Crim. Just. (NY)*,bang4buck,Northeast,7,,,,,,
Duke University,main,National Universities,7,35.0,1274.954,0.0400706,0.9580252,-0.0113203,5117.011
Washington and Lee University,main,Liberal Arts Colleges,7,4.0,0.2396667,0.324136,0.945601,-0.028904,3205.0
Albizu University–Miami,bang4buck,Southeast,7,,,,,,
Bentley University,bang4buck,Northeast,8,,,,,,
Vanderbilt University,bang4buck,South,8,,,,,,
Ctrl. Meth.–Grad/Extended,bang4buck,Midwest,8,,,,,,
CA State Univ.–Dominguez Hills (CA)*,main,Master's Universities,8,2.0,2.995,0.2127781,0.6630476,-0.0290998,3401.983
CA State University–Sacramento (CA)*,bang4buck,West,8,,,,,,
Illinois Wesleyan University,main,Bachelor's Colleges,8,21.0,0.0,0.0209282,0.801952,-0.0246355,20974.92
Cornell University,main,National Universities,8,25.0,1224.648,0.1451875,0.9579089,-0.0339577,5249.372
Embry-Riddle Aero. Univ.–Worldwide,bang4buck,Southeast,8,,,,,,
Swarthmore College,main,Liberal Arts Colleges,8,39.0,3.688333,0.0170734,0.9556008,0.0027761,8722.616
Lake Superior State University (MI)*,bang4buck,Midwest,9,,,,,,
California Institute of Tech.,main,National Universities,9,13.0,455.4723,0.0841596,0.933579,-0.0312371,4732.067
CUNY Lehman College (NY)*,bang4buck,Northeast,9,,,,,,
Claremont McKenna College,main,Liberal Arts Colleges,9,3.0,5.418,0.0536123,0.925418,0.0034885,9518.397
Texas A&M–San Antonio (TX)*,bang4buck,South,9,,,,,,
Ohio Northern University,main,Bachelor's Colleges,9,18.0,0.3563333,0.0841497,0.7436355,-0.1429878,21016.56
CA State Univ.–San Bernardino (CA)*,bang4buck,West,9,,,,,,
Towson University (MD)*,main,Master's Universities,9,18.0,5.398,0.0877321,0.731912,-0.0137537,9428.324
Strayer University–Florida (FL)°,bang4buck,Southeast,9,,,,,,
University of WA–Tacoma (WA)*,bang4buck,West,10,,,,,,
Davidson College,bang4buck,Southeast,10,,,,,,
Boricua College,main,Bachelor's Colleges,10,2.0,0.0,0.065002,0.793543,0.0385191,13905.14
Sam Houston State University (TX)*,bang4buck,South,10,,,,,,
University of Pennsylvania,bang4buck,Northeast,10,,,,,,
Metropolitan State University (MN)*,bang4buck,Midwest,10,,,,,,
College of New Jersey (NJ)*,main,Master's Universities,10,81.0,2.28,0.0,0.858095,-0.057318,13105.64
Pomona College,main,Liberal Arts Colleges,10,40.0,2.53,0.0794981,0.9451087,0.0160428,5660.412
University of Notre Dame,main,National Universities,10,21.0,249.4877,0.1595109,0.9658034,-0.0323785,11025.92
Le Moyne-Owen College,bang4buck,South,11,,,,,,
Peirce College,bang4buck,Northeast,11,,,,,,
University of SC–Upstate (SC)*,bang4buck,Southeast,11,,,,,,
Bowdoin College,main,Liberal Arts Colleges,11,16.0,2.594667,0.3196226,0.9511547,-0.0052286,7129.624
University of Illinois–Chicago (IL)*,bang4buck,Midwest,11,,,,,,
Westminster College,main,Master's Universities,11,200.0,0.0,0.0316895,0.6399474,-0.0828205,20286.12
Yale University,main,National Universities,11,23.0,1150.161,0.0524503,0.9746981,-0.0409576,3124.779
Brigham Young University,bang4buck,West,11,,,,,,
Elmira College,main,Bachelor's Colleges,11,55.0,0.0,0.0348572,0.6740226,-0.0281343,20298.37
University of WI–Madison (WI)*,bang4buck,Midwest,12,,,,,,
Davidson College,main,Liberal Arts Colleges,12,7.0,2.505667,0.0350063,0.9183941,0.014704,8161.266
Texas A&M–Texarkana (TX)*,bang4buck,South,12,,,,,,
Truman State University (MO)*,main,Master's Universities,12,147.0,0.2866667,0.0859871,0.7235553,-0.1242789,9510.425
Farmingdale State College (NY)*,bang4buck,Northeast,12,,,,,,
Claremont McKenna College,bang4buck,West,12,,,,,,
Elizabeth City State University (NC)*,bang4buck,Southeast,12,,,,,,
University of WI–Madison (WI)*,main,National Universities,12,42.0,1422.506,0.1386999,0.878276,-0.0582862,6566.917
Peirce College,main,Bachelor's Colleges,12,5.0,0.0,0.0,0.2498177,0.5,9989.087
Univ. of Houston–Clear Lake (TX)*,bang4buck,South,13,,,,,,
